Frecuencia,Parte Real,Parte Imaginaria
8.902778,-82447.400361,39804.988148
8.916667,62629.421394,45296.019163
8.930556,59047.829333,-33304.689870
8.944444,-44618.184290,-38438.235794
8.958333,-38140.867581,24453.776095
8.972222,-24795.552997,19073.560746
8.986111,30753.587521,50624.745670
9.000000,26623.849613,-33688.587193
9.013889,-68615.859259,-60762.933830
9.027778,-54577.517850,7837.373586
9.041667,6291.275123,86983.107661
9.055556,53613.533103,-2298.064969
9.069444,16097.282897,-38390.295984
9.083333,8644.804520,-26117.667175
9.097222,-33094.426836,-22031.562116
9.111111,-53431.220420,4071.163744
9.125000,10651.136843,39541.817213
9.138889,32969.931419,11391.024348
9.152778,-7405.290794,-51442.263919
9.166667,-51120.545424,-13940.138915
9.180556,-14880.079615,-6947.633202
9.194444,-2407.405208,29777.645225
9.208333,45876.452776,31526.504904
9.222222,24331.304119,-78715.428877
9.236111,-72401.836664,-77861.742742
9.250000,-31929.042451,43665.879435
9.263889,63973.232671,74476.666523
9.277778,49716.377914,-51411.492985
9.291667,8461.254905,-62122.608427
9.305556,-59326.526587,1131.811414
9.319444,-12135.469306,56678.280446
9.333333,16178.848886,25936.637392
9.347222,53183.849561,-60544.150827
9.361111,-7837.480711,-49815.276126
9.375000,-4135.369918,-27619.921398
9.388889,-73950.484725,16798.831081
9.402778,24280.222832,102571.416435
9.416667,105803.826124,-30970.409475
9.430556,26557.945508,-75030.581339
9.444444,-17915.686673,-17149.517113
9.458333,-52922.860675,41015.607060
9.472222,2222.645323,12192.245222
9.486111,-10117.088261,5409.741764
9.500000,30973.117254,5697.330330
9.513889,11335.037419,-37345.839843
9.527778,-28255.059715,893.689376
9.541667,14236.890542,5581.429679
9.555556,17730.616190,45924.855747
9.569444,24888.281724,-761.248349
9.583333,-9267.311450,-34602.476487
9.597222,-21624.612698,-16344.815588
9.611111,-29280.924014,40132.119528
9.625000,25596.174371,60435.718725
9.638889,27697.944107,-18131.783717
9.652778,22371.750954,-23480.133205
9.666667,-12422.970747,-15916.948196
9.680556,-14751.562578,33631.617995
9.694444,-17137.492996,25068.566631
9.708333,-20549.819033,9094.810024
9.722222,34284.870785,-543.117077
9.736111,-14110.137418,-30914.687286
9.750000,-54532.996405,5460.039571
9.763889,-8003.112190,32850.989824
9.777778,31791.077988,23452.508932
9.791667,2368.797304,-13363.449763
9.805556,-20489.192933,-35675.734931
9.819444,-36441.914735,5735.378697
9.833333,11918.661246,33336.195644
9.847222,690.302849,964.201167
9.861111,-1687.523288,-17068.927887
9.875000,-9316.859630,-3135.866883
9.888889,-14182.889351,-19364.220617
9.902778,-44409.268520,-4621.667899
9.916667,16317.779003,35523.113026
9.930556,41145.161111,-48241.110597
9.944444,-29647.232120,-41118.839506
9.958333,-24579.334167,-11488.377951
9.972222,41067.397627,22164.354038
9.986111,20931.666373,1924.090627
10.000000,249.732038,22646.688768
10.013889,14482.832662,-35261.126891
10.027778,-6153.669801,-39026.186638
10.041667,-16890.449576,35535.591143
10.055556,10671.849618,25135.695730
10.069444,12982.699745,-60376.267858
10.083333,-8086.651054,-490.756736
10.097222,21065.348687,31625.803071
10.111111,-4497.383612,-19367.746265
10.125000,-16442.646376,5626.592751
10.138889,33110.222650,10835.099850
10.152778,61968.094815,11170.846482
10.166667,-13451.255566,-38033.860974
10.180556,-59599.388289,-4528.599533
10.194444,2286.030403,40945.133645
10.208333,50650.684891,13152.430236
10.222222,16935.138240,-714.686936
10.236111,17068.371532,-8445.566925
10.250000,3583.123617,-26681.504171
10.263889,-41181.649448,20217.494582
10.277778,676.372235,47978.583387
10.291667,27799.220230,-18379.368175
10.305556,5876.242349,-12872.725580
10.319444,505.422215,-2423.564901
10.333333,-25060.764453,13696.630160
10.347222,-2579.390714,29887.713155
10.361111,49998.081012,37285.908761
10.375000,23757.509371,-1852.968622
10.388889,-7628.769889,-42912.780530
10.402778,-54106.143386,-43.153299
10.416667,-14072.212372,44080.926973
10.430556,33691.400715,37128.291473
10.444444,-1411.770676,-19907.812110
10.458333,3302.970840,-8432.207881
10.472222,-125.659794,-5108.070647
10.486111,-43196.498442,9012.117330
10.500000,-641.341204,26211.673349
10.513889,20795.551876,-8996.521791
10.527778,-15545.752545,-14760.738503
10.541667,-31035.573038,8263.268146
10.555556,-16559.731699,9144.328586
10.569444,10141.660620,-35478.774325
10.583333,-5102.553061,24866.984537
10.597222,14983.946852,-2317.709443
10.611111,-38903.336313,-24747.350777
10.625000,11572.682938,20789.920351
10.638889,30901.663058,-12377.478971
10.652778,-38169.399462,-32852.417378
10.666667,-1629.469355,28374.256169
10.680556,5213.113717,-14814.057741
10.694444,-21042.119452,-631.082789
10.708333,8302.249558,16001.447941
